Performer,Song,spotify_genre
Gladys Knight And The Pips,Money,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
Pink Floyd,Money,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
AC/DC,Moneytalks,"['album rock', 'australian rock', 'hard rock', 'rock']"
The Flying Lizards,Money,"['no wave', 'post-punk', 'zolo']"
The Kingsmen,Money,['classic garage rock']
The Lovin' Spoonful,Money,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock', 'rock', 'rock-and-roll', 'roots rock', 'soft rock', 'traditional folk']"
Elephant's Memory,Mongoose,[]
Before Dark,Monica,[]
Bill Black's Combo,Monkey-Shine,[]
George Michael,Monkey,"['dance rock', 'europop', 'new wave pop', 'soft rock']"
Ariana Grande & Victoria Monet,Monopoly,"['dance pop', 'pop', 'post-teen pop']"
"Bobby ""Boris"" Pickett And The Crypt-Kickers",Monster Mash,
21 Savage,Monster,"['atl hip hop', 'pop rap', 'rap', 'trap']"
Fred Schneider,Monster,[]
Imagine Dragons,Monster,['modern rock']
"Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",Monster,"['chicago rap', 'rap']"
Meek Mill,Monster,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Paramore,Monster,"['candy pop', 'emo', 'pixie', 'pop emo', 'pop punk']"
Voice Of The Beehive,Monsters And Angels,"['candy pop', 'new wave pop']"
"Bobby ""Boris"" Pickett And The Crypt-Kickers",Monsters' Holiday,
All Time Low Featuring Demi Lovato & blackbear,Monsters,
Shawn Mendes & Justin Bieber,Monster,
Steppenwolf,Monster,"['album rock', 'blues rock', 'classic canadian rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock']"
The Love Generation,Montage From How Sweet It Is (I Know That You Know),[]
Amazulu,Montego Bay,['wu fam']
Bobby Bloom,Montego Bay,['bubblegum pop']
Eric Burdon & The Animals,Monterey,"['blues rock', 'british blues', 'classic rock', 'psychedelic rock']"
Lil Nas X,Montero (Call Me By Your Name),"['country rap', 'lgbtq+ hip hop', 'pop rap', 'queer country']"
Billy Idol,Mony Mony,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']"
Tommy James And The Shondells,Mony Mony,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'rock', 'rock-and-roll', 'soft rock']"
"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",Mood 4 Eva,"['dance pop', 'pop', 'pop rap', 'r&b']"
A Boogie Wit da Hoodie,Mood Swings,"['melodic rap', 'pop rap', 'rap', 'trap']"
Pop Smoke Featuring Lil Tjay,Mood Swings,
24kGoldn Featuring iann dior,Mood,
Elvis Presley,Moody Blue/she Thinks I Still Care,"['adult standards', 'rock-and-roll', 'rockabilly']"
Pat Boone,Moody River,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']"
Jerry Butler,Moody Woman,"['beach music', 'chicago soul', 'classic soul', 'motown', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul']"
Young Greatness,Moolah,['new orleans rap']
Bert Kaempfert And His Orchestra,Moon Over Naples,[]
Lil Uzi Vert,Moon Relate,"['melodic rap', 'philly rap', 'rap', 'trap']"
Henry Mancini And His Orchestra,Moon River,[]
Jerry Butler,Moon River,"['beach music', 'chicago soul', 'classic soul', 'motown', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul']"
Cat Stevens,Moon Shadow,"['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
Perry Como,Moon Talk,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']"
Joe Simon,Moon Walk Part 1,"['classic soul', 'motown', 'philly soul', 'soul', 'southern soul']"
Van Morrison,Moondance,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
Vik Venus Alias: Your Main Moon Man,Moonflight,
Vic Dana,Moonlight And Roses (Bring Mem'ries Of You),['deep adult standards']
The Drifters,Moonlight Bay,"['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']"
Starbuck,Moonlight Feels Right,"['soft rock', 'yacht rock']"
Kevin Raleigh,Moonlight On Water,[]
Laura Branigan,Moonlight On Water,"['dance rock', 'europop', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']"
Bobby Vinton,Moonlight Serenade,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'rock-and-roll']"
The Rivieras,Moonlight Serenade,"['classic garage rock', 'doo-wop', 'surf music']"
Henry Mancini And His Orchestra,Moonlight Sonata,[]
Ray Stevens,Moonlight Special,"['bubblegum pop', 'comic', 'country rock', 'novelty']"
Al Jarreau,Moonlighting (Theme),"['adult standards', 'jazz funk', 'quiet storm', 'smooth jazz', 'soft rock', 'vocal jazz', 'yacht rock']"
JAY-Z,Moonlight,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
XXXTENTACION,Moonlight,"['emo rap', 'miami hip hop']"
DDG,Moonwalking In Calabasas,"['rap', 'trap']"
Ashe Featuring Niall Horan,Moral Of The Story,
Joe,More & More,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']"
Andy Williams,More And More,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']"
Captain Hollywood Project,More And More,"['bubblegum dance', 'diva house', 'eurodance', 'europop', 'german techno', 'hip house']"
Carly Simon,More And More,"['adult standards', 'classic uk pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']"
Zapp,More Bounce To The Ounce Part I,"['funk', 'gangster rap', 'hip hop', 'motown', 'new jack swing', 'p funk', 'popping', 'post-disco', 'quiet storm', 'soul']"
Kip Moore,More Girls Like You,"['contemporary country', 'country', 'country road', 'modern country rock']"
Ingrid Andress,More Hearts Than Mine,"['contemporary country', 'country pop']"
Miranda Lambert,More Like Her,"['contemporary country', 'country', 'country dawn', 'country road']"
Kim Carnes,More Love,"['new wave pop', 'soft rock']"
Smokey Robinson & The Miracles,More Love,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
The Four Preps,More Money For You And Me,"['deep adult standards', 'vocal harmony group']"
More Stars On 45,More Stars,
Morgan Wallen,More Surprised Than Me,['contemporary country']
Boston,More Than A Feeling,"['album rock', 'art rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
Garth Brooks,More Than A Memory,"['country', 'oklahoma country']"
Aaliyah,More Than A Woman,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
Tavares,More Than A Woman,"['adult standards', 'classic soul', 'disco', 'funk', 'motown', 'post-disco', 'quiet storm']"
Nelson,More Than Ever,"['classic country pop', 'country', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']"
Bobby Vee,More Than I Can Say,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'lounge', 'merseybeat', 'rock-and-roll', 'rockabilly']"
Leo Sayer,More Than I Can Say,"['adult standards', 'bubblegum pop', 'classic uk pop', 'country rock', 'disco', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
Bobby Womack,More Than I Can Stand,"['classic soul', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
Sneaker,More Than Just The Two Of Us,"['alternative dance', 'electronica', 'trip hop']"
Brantley Gilbert,More Than Miles,"['contemporary country', 'country', 'country road', 'modern country rock']"
Morgan Wallen,More Than My Hometown,['contemporary country']
Bananarama,More Than Physical,"['dance pop', 'dance rock', 'disco', 'europop', 'girl group', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Backstreet Boys,More Than That,"['boy band', 'dance pop', 'pop']"
Al Martino,More Than The Eye Can See,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
"10,000 Maniacs",More Than This,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
Alias,More Than Words Can Say,[]
Extreme,More Than Words,"['album rock', 'funk metal', 'glam metal', 'hard rock', 'rock']"
Frankie J,More Than Words,"['dance pop', 'pop rap', 'r&b', 'urban contemporary']"
Martika,More Than You Know,"['freestyle', 'minneapolis sound', 'new wave pop']"
Spiral Starecase,More Today Than Yesterday,[]
Andrea True Connection,"More, More, More Pt. 1",['disco']
Kai Winding & Orchestra,More,"['jazz brass', 'jazz trombone', 'space age pop']"
Trace Adkins,More,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock', 'redneck']"
Usher,More,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
Vic Dana,More,['deep adult standards']
Ivo Robic and The Song-Masters,Morgen,
Bobby Goldsboro,Mornin Mornin,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'folk', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rock-and-roll', 'soft rock']"
Tony Orlando & Dawn,Mornin' Beautiful,"['bubblegum pop', 'classic uk pop', 'country rock']"
Bobbie Gentry & Glen Campbell,Mornin' Glory,"['brill building pop', 'country rock', 'folk', 'traditional folk']"
Jarreau,Mornin',"['adult standards', 'jazz funk', 'quiet storm', 'smooth jazz', 'soft rock', 'vocal jazz', 'yacht rock']"
Timbaland Featuring Nelly Furtado & SoShy,Morning After Dark,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'rap', 'urban contemporary']"
Mar-Keys,Morning After,"['instrumental soul', 'memphis soul', 'soul', 'southern soul']"
Spyro Gyra,Morning Dance,"['jazz funk', 'jazz fusion', 'progressive jazz fusion', 'smooth jazz']"
Kenny Rogers,Morning Desire,"['adult standards', 'classic country pop', 'country', 'mellow gold', 'nashville sound', 'soft rock']"
Lulu,Morning Dew,"['brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']"
The Neon Philharmonic,Morning Girl,['sunshine pop']
Cat Stevens,Morning Has Broken,"['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
Rupert Holmes,Morning Man,"['soft rock', 'yacht rock']"
Ten Wheel Drive With Genya Ravan,Morning Much Better,
Donny & Marie Osmond,Morning Side Of The Mountain,"['chicago soul', 'classic soul', 'funk', 'motown', 'neo soul', 'quiet storm', 'soul', 'southern soul', 'vocal jazz']"
Sheena Easton,Morning Train (Nine To Five),"['adult standards', 'mellow gold', 'minneapolis sound', 'new romantic', 'new wave pop', 'soft rock']"
Jim Ed Brown,Morning,['arkansas country']
The Seekers,Morningtown Ride,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll', 'traditional folk']"
OutKast Featuring Scar & Sleepy Brown,Morris Brown,"['atl hip hop', 'dirty south rap', 'hip hop', 'rap', 'southern hip hop']"
Kodak Black Featuring Juice WRLD,MoshPit,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Hailee Steinfeld,Most Girls,"['dance pop', 'pop', 'post-teen pop']"
P!nk,Most Girls,"['dance pop', 'pop', 'post-teen pop']"
Bob Dylan/The Band,Most Likely You Go Your Way (And I'll Go Mine),"['album rock', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']"
B.J. Thomas,Most Of All,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic country pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
Jody Watley,Most Of All,"['freestyle', 'minneapolis sound', 'new jack swing', 'new wave pop', 'post-disco', 'quiet storm', 'urban contemporary']"
Luke Bryan,Most People Are Good,"['contemporary country', 'country', 'country road']"
Patti Page,Most People Get Married,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal jazz']"
Paul Simon,Mother And Child Reunion,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
Bread,Mother Freedom,"['adult standards', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
Brook Benton,"Mother Nature, Father Time","['adult standards', 'brill building pop', 'motown', 'rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']"
Sugarloaf,Mother Nature's Wine,"['classic rock', 'country rock', 'soft rock']"
The Temptations,Mother Nature,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'soul']"
James Brown,Mother Popcorn (You Got To Have A Mother For Me) Part 1,"['funk', 'motown', 'soul']"
Clarence Carter,Mother-in-law,"['classic soul', 'funk', 'motown', 'rhythm and blues', 'soul', 'southern soul']"
Ernie K-Doe,Mother-In-Law,"['louisiana blues', 'new orleans blues', 'new orleans funk', 'rhythm and blues']"
Jo Ann Campbell,"Mother, Please!",[]
Miley Cyrus,Mother's Daughter,"['dance pop', 'pop', 'post-teen pop']"
Miley Cyrus,Mother's Daughter,"['dance pop', 'pop', 'post-teen pop']"
George Michael,Mother's Pride,"['dance rock', 'europop', 'new wave pop', 'soft rock']"
Barbra Streisand,Mother,"['adult standards', 'hollywood', 'mellow gold', 'soft rock']"
Danzig,Mother,"['alternative metal', 'groove metal', 'hard rock', 'metal', 'rock', 'speed metal', 'stoner rock', 'thrash metal']"
John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band,Mother,
The Rolling Stones,Mothers Little Helper,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']"
Tears For Fears,Mothers Talk,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'soft rock', 'synthpop']"
J. Cole,Motiv8,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']"
Kelly Rowland Featuring Lil Wayne,Motivation,"['atl hip hop', 'dance pop', 'deep pop r&b', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
Normani,Motivation,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b']"
Ariana Grande Featuring Doja Cat,Motive,
Sailcat,Motorcycle Mama,[]
Huncho Jack,Motorcycle Patches,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Tico And The Triumphs,Motorcycle,
"Migos, Nicki Minaj & Cardi B",MotorSport,"['atl hip hop', 'pop rap', 'rap', 'trap']"
The Kane Gang,Motortown,[]
Philly Cream,Motown Review,[]
Boyz II Men,Motownphilly,"['boy band', 'new jack swing', 'pop', 'quiet storm', 'r&b', 'urban contemporary']"
Gunna,MOTW,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']"
The Barbarians,Moulty,"['classic garage rock', 'freakbeat', 'protopunk']"
Billy Stewart,Mountain Of Love,"['chicago soul', 'classic soul', 'motown', 'soul']"
Harold Dorman,Mountain Of Love,[]
Johnny Rivers,Mountain Of Love,"['brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'soft rock']"
Ronnie Dove,Mountain Of Love,['deep adult standards']
Lonestar,Mountains,"['contemporary country', 'country', 'country road']"
Prince And The Revolution,Mountains,"['funk', 'funk rock', 'minneapolis sound', 'motown']"
Naughty By Nature,Mourn You Til I Join You,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'new jersey rap', 'rap']"
Merril Bainbridge,Mouth,[]
Delaney & Bonnie,Move 'Em Out,"['canadian electropop', 'indie electropop']"
Mims,Move (If You 'W'anna),['pop rap']
The All-American Rejects,Move Along,"['modern rock', 'neo mellow', 'pop punk', 'pop rock', 'post-grunge']"
The Shamen,Move Any Mountain,"['acid house', 'big beat', 'britpop', 'hardcore techno', 'hip house']"
Culture Club,Move Away,"['dance rock', 'disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
Ludacris Featuring Mystikal & Infamous 2.0,Move B***h,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Mama Cass,"Move In A Little Closer, Baby",
K7,Move It Like This,['freestyle']
Technotronic Featuring Ya Kid K,Move It To The Rhythm,"['eurodance', 'europop', 'hip house', 'new beat']"
The Ray Charles Singers,"Move Me, O Wondrous Music",['easy listening']
Steppenwolf,Move Over,"['album rock', 'blues rock', 'classic canadian rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock']"
Rick Astley,Move Right Out,"['dance pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
DJ Laz Featuring Flo Rida & Casely,Move Shake Drop,"['miami bass', 'miami hip hop']"
Nelly Featuring T-Pain & Akon,Move That Body,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary']"
"Future Featuring Pharrell, Pusha T & Casino",Move That Doh,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Technotronic Featuring Ya Kid K,Move This,"['eurodance', 'europop', 'hip house', 'new beat']"
Nina Sky Featuring Jabba,Move Ya Body,"['hip pop', 'r&b', 'urban contemporary']"
A$AP Ferg Featuring Nicki Minaj & MadeinTYO,Move Ya Hips,
Bar-Kays,Move Your Boogie Body,"['classic soul', 'disco', 'electro', 'funk', 'memphis soul', 'motown', 'popping', 'post-disco', 'soul', 'southern soul']"
Luke Bryan,Move,"['contemporary country', 'country', 'country road']"
Glee Cast,Moves Like Jagger / Jumpin' Jack Flash,"['glee club', 'hollywood', 'post-teen pop']"
Maroon 5 Featuring Christina Aguilera,Moves Like Jagger,"['pop', 'pop rock']"
Big Sean,Moves,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Bad Company,Movin' On,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
CeCe Peniston,Movin' On,"['disco house', 'diva house', 'hip house', 'vocal house']"
Elliott Yamin,Movin' On,[]
Mya Featuring Silkk The Shocker,Movin' On,"['dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']"
